ticket,model_name,dev_f1_target_1,heldout_f1_target_1,heldout_accuracy,fixed_fp,fixed_fn,new_fp,new_fn,decision,decision_reason
1,tfidf_logreg_naive_default,0.7449,0.744,0.803,,,,,gap,"heldout_f1=0.7440 vs reference=0.7574, gap=-0.0134, tol=0.001"
1,tfidf_logreg_reference_repro,0.7514,0.7576,0.8063,,,,,match,"heldout_f1=0.7576 vs reference=0.7574, gap=+0.0002, tol=0.001"
2,tfidf_logreg_keep_hashtags_raw,0.7518,0.7595,0.8083,3,0,0,0,adopt,best dev config=keep_hashtags_raw; heldout f1 0.7576 -> 0.7595
3,tfidf_logreg_text_only,0.7514,0.7576,0.8063,,,,,"n/a - diagnostic ticket, no model swap",keyword_only and length_only measured as shallow-signal floors; 21 near-pure keywords found in train (possible artifact)
4,tfidf_logreg_thr0.45,0.7568,0.7666,0.8037,0,30,34,0,adopt,winner=logreg_thr0.45 chosen on dev among threshold/class_weight/svm candidates
5,tfidf_logreg_majority_vote_label_fix,0.7545,0.7516,0.8004,0,1,8,2,reject,"12 train duplicate-conflict labels changed; dev F1 0.7514->0.7545, heldout F1 0.7576->0.7516; heldout degradation confirmed by McNemar p=0.0117"
